CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
25,100031028202600025,202600025,2025-11-08,646,1028,1,2,1,51,3,38,2025-11-05 01:08:34,2025-11-06 17:08:34,2025-11-08 01:08:34,12.320961,76.667981,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
26,100041034202600026,202600026,2024-05-10,384,1034,1,2,14,33,2,6,2024-05-04 09:47:17,2024-05-05 10:47:17,2024-05-10 09:47:17,12.874584,74.749689,The accused posed as a real estate agent and collected ₹242291 as advance for a site. Later it was found the documents were forged.
27,100031032202600027,202600027,2024-03-21,959,1032,1,2,1,80,3,10,2024-03-17 21:53:31,2024-03-18 10:53:31,2024-03-21 21:53:31,12.301188,76.682329,Miscellaneous complaint registered regarding public nuisance and damage to public property.
28,100011008202600028,202600028,2024-06-26,418,1008,1,1,4,75,2,2,2024-06-24 16:44:51,2024-06-25 03:44:51,2024-06-26 16:44:51,12.990296,77.611567,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
29,100261193202600029,202600029,2025-08-06,714,1193,3,1,4,73,2,3,2025-08-01 00:27:27,2025-08-02 20:27:27,2025-08-06 00:27:27,16.257927,75.63915,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹237436 and cash were stolen.
30,100011007202600030,202600030,2025-07-29,256,1007,1,2,14,23,2,47,2025-07-21 15:53:01,2025-07-23 13:53:01,2025-07-29 15:53:01,12.89089,77.547261,"Fraudster contacted the victim from +919243839315 claiming to be bank staff. They asked to install an APK file. Shortly after, ₹5829 was debited from their SBI account."
31,100031028202600031,202600031,2026-04-16,561,1028,1,2,8,97,1,30,2026-04-14 00:32:24,2026-04-14 18:32:24,2026-04-16 00:32:24,12.324002,76.674255,Three unidentified men on a motorcycle intercepted the victim. They threatened with a machete and snatched a gold chain and mobile phone.
32,100041040202600032,202600032,2025-06-06,110,1040,1,2,17,25,3,6,2025-06-01 13:46:30,2025-06-03 01:46:30,2025-06-06 13:46:30,12.855561,74.817239,"Complainant was added to a WhatsApp group promising 300% guaranteed returns. They transferred ₹431345 to UPI ID user160@ybl. When trying to withdraw, the scammers vanished."
33,100011007202600033,202600033,2026-01-28,514,1007,1,2,8,40,1,43,2026-01-23 23:30:08,2026-01-24 14:30:08,2026-01-28 23:30:08,12.86652,77.533412,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
34,100051051202600034,202600034,2026-05-09,223,1051,1,2,7,41,1,8,2026-05-04 18:58:02,2026-05-05 09:58:02,2026-05-09 18:58:02,15.749016,74.551681,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
35,100111098202600035,202600035,2024-10-14,332,1098,1,1,12,23,1,20,2024-10-10 14:53:11,2024-10-11 09:53:11,2024-10-14 14:53:11,13.970358,75.600209,"Fraudster contacted the victim from +917603828849 claiming to be bank staff. They asked to install an APK file. Shortly after, ₹23120 was debited from their SBI account."
36,100011009202600036,202600036,2024-07-15,391,1009,1,2,16,62,2,29,2024-07-14 15:21:17,2024-07-16 04:21:17,2024-07-15 15:21:17,12.917822,77.62035,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹64293 and cash were stolen.
37,100011001202600037,202600037,2025-01-27,252,1001,1,1,19,39,2,6,2025-01-26 05:04:35,2025-01-26 15:04:35,2025-01-27 05:04:35,12.998594,77.512487,Miscellaneous complaint registered regarding public nuisance and damage to public property.
38,100311224202600038,202600038,2026-05-16,980,1224,1,2,19,55,2,20,2026-05-08 22:28:14,2026-05-09 18:28:14,2026-05-16 22:28:14,14.177749,76.486575,Three unidentified men on a motorcycle intercepted the victim. They threatened with a machete and snatched a gold chain and mobile phone.
39,100041034202600039,202600039,2024-06-03,102,1034,1,1,14,58,1,45,2024-06-01 03:41:44,2024-06-01 14:41:44,2024-06-03 03:41:44,12.848222,74.750861,Miscellaneous complaint registered regarding public nuisance and damage to public property.
40,100051048202600040,202600040,2024-02-20,217,1048,1,2,18,29,2,42,2024-02-16 16:54:07,2024-02-17 20:54:07,2024-02-20 16:54:07,15.745253,74.463361,"Fraudster contacted the victim from +916909666337 claiming to be bank staff. They asked to install an APK file. Shortly after, ₹34755 was debited from their SBI account."
41,100011005202600041,202600041,2024-08-08,512,1005,1,1,9,65,1,35,2024-08-03 22:57:11,2024-08-05 19:57:11,2024-08-08 22:57:11,12.948288,77.510517,Victim received a video call from someone claiming to be CBI. They were told a FedEx courier with drugs was seized in their name. They transferred ₹425565 to clear their name.
42,100031025202600042,202600042,2024-03-02,121,1025,1,2,9,74,3,3,2024-02-21 22:07:03,2024-02-23 12:07:03,2024-03-02 22:07:03,12.31583,76.602381,"During a raid, police apprehended a suspect carrying 476 grams of MDMA intended for distribution among college students."
43,100131108202600043,202600043,2025-12-31,518,1108,1,2,11,42,4,43,2025-12-23 21:32:31,2025-12-24 20:32:31,2025-12-31 21:32:31,13.084677,76.043795,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
44,100011003202600044,202600044,2025-05-27,431,1003,3,2,4,99,2,26,2025-05-21 07:58:18,2025-05-22 00:58:18,2025-05-27 07:58:18,13.010423,77.647748,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹179884 and cash were stolen.
45,100211159202600045,202600045,2026-04-22,373,1159,1,2,18,17,2,19,2026-04-21 21:21:19,2026-04-22 11:21:19,2026-04-22 21:21:19,13.40596,77.788521,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
46,100031031202600046,202600046,2024-07-07,220,1031,1,2,5,64,1,46,2024-07-05 15:05:33,2024-07-06 21:05:33,2024-07-07 15:05:33,12.402096,76.65983,"Fraudster contacted the victim from +916274989148 claiming to be bank staff. They asked to install an APK file. Shortly after, ₹20682 was debited from their SBI account."
47,100011012202600047,202600047,2025-02-28,239,1012,1,2,3,36,4,50,2025-02-19 18:01:08,2025-02-21 18:01:08,2025-02-28 18:01:08,12.95886,77.515445,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹176484 and cash were stolen.
48,100151124202600048,202600048,2025-06-11,557,1124,1,1,18,62,2,23,2025-06-03 23:28:02,2025-06-04 09:28:02,2025-06-11 23:28:02,12.414093,75.724679,Miscellaneous complaint registered regarding public nuisance and damage to public property.
49,100011013202600049,202600049,2026-04-24,425,1013,1,2,16,91,1,25,2026-04-17 04:32:28,2026-04-17 07:32:28,2026-04-24 04:32:28,13.055914,77.549465,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹294541 and cash were stolen.
50,100011011202600050,202600050,2024-08-24,638,1011,1,2,15,2,3,47,2024-08-16 06:53:50,2024-08-16 13:53:50,2024-08-24 06:53:50,13.014245,77.63432,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
51,100011014202600051,202600051,2024-08-27,741,1014,3,2,16,70,3,3,2024-08-20 19:00:12,2024-08-21 16:00:12,2024-08-27 19:00:12,12.897857,77.519936,"Complainant was added to a WhatsApp group promising 300% guaranteed returns. They transferred ₹760014 to UPI ID scammer39@paytm. When trying to withdraw, the scammers vanished."
52,100051047202600052,202600052,2025-03-22,810,1047,1,2,10,4,3,3,2025-03-14 10:15:56,2025-03-14 21:15:56,2025-03-22 10:15:56,15.917987,74.479491,Miscellaneous complaint registered regarding public nuisance and damage to public property.
53,100011001202600053,202600053,2025-03-31,991,1001,1,2,13,80,1,44,2025-03-29 17:32:36,2025-03-31 09:32:36,2025-03-31 17:32:36,12.985308,77.500849,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹162901 and cash were stolen.
54,100011015202600054,202600054,2026-06-24,175,1015,3,2,15,45,1,38,2026-06-15 21:40:25,2026-06-16 08:40:25,2026-06-24 21:40:25,13.039482,77.622019,"Complainant was added to a WhatsApp group promising 300% guaranteed returns. They transferred ₹1387782 to UPI ID invest169@okicici. When trying to withdraw, the scammers vanished."
55,100011007202600055,202600055,2025-01-23,402,1007,3,1,10,3,1,43,2025-01-17 12:20:15,2025-01-19 01:20:15,2025-01-23 12:20:15,12.868992,77.554343,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
56,100011001202600056,202600056,2026-05-29,721,1001,3,2,12,29,3,41,2026-05-24 03:21:46,2026-05-24 18:21:46,2026-05-29 03:21:46,13.010617,77.518546,A minor went missing from outside their school. Witnesses reported seeing them being forced into a white van.
57,100011005202600057,202600057,2024-07-31,434,1005,1,2,14,23,3,13,2024-07-29 11:29:58,2024-07-30 06:29:58,2024-07-31 11:29:58,12.961838,77.492916,The accused posed as a real estate agent and collected ₹757937 as advance for a site. Later it was found the documents were forged.
58,100011009202600058,202600058,2025-07-22,991,1009,1,2,11,15,2,30,2025-07-17 08:09:26,2025-07-19 08:09:26,2025-07-22 08:09:26,12.932227,77.625672,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
59,100291211202600059,202600059,2024-12-16,649,1211,3,2,4,59,3,24,2024-12-15 11:31:31,2024-12-16 04:31:31,2024-12-16 11:31:31,15.327239,76.190702,A minor went missing from outside their school. Witnesses reported seeing them being forced into a white van.
60,100061056202600060,202600060,2026-06-27,724,1056,1,1,8,83,3,5,2026-06-18 01:58:47,2026-06-18 22:58:47,2026-06-27 01:58:47,15.457483,75.061012,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹217391 and cash were stolen.
61,100061059202600061,202600061,2025-04-14,497,1059,1,2,15,48,1,43,2025-04-05 10:27:58,2025-04-05 19:27:58,2025-04-14 10:27:58,15.30998,75.16964,The accused posed as a real estate agent and collected ₹222343 as advance for a site. Later it was found the documents were forged.
62,100281208202600062,202600062,2026-04-19,806,1208,1,2,12,28,2,29,2026-04-14 03:50:09,2026-04-14 06:50:09,2026-04-19 03:50:09,16.883279,75.723133,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹244581 and cash were stolen.
63,100031027202600063,202600063,2025-07-17,778,1027,1,1,7,83,4,41,2025-07-09 09:54:56,2025-07-09 15:54:56,2025-07-17 09:54:56,12.265264,76.732524,"Fraudster contacted the victim from +918962958940 claiming to be bank staff. They asked to install an APK file. Shortly after, ₹40682 was debited from their SBI account."
64,100051044202600064,202600064,2024-03-19,321,1044,1,1,8,43,3,50,2024-03-15 13:42:12,2024-03-17 03:42:12,2024-03-19 13:42:12,15.938951,74.484642,Three unidentified men on a motorcycle intercepted the victim. They threatened with a machete and snatched a gold chain and mobile phone.
65,100011015202600065,202600065,2024-01-05,466,1015,1,1,8,76,3,21,2024-01-02 09:43:01,2024-01-02 10:43:01,2024-01-05 09:43:01,13.0606,77.616954,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹87929 and cash were stolen.
66,100011005202600066,202600066,2024-03-22,729,1005,1,2,2,94,1,43,2024-03-13 09:34:37,2024-03-14 00:34:37,2024-03-22 09:34:37,12.965811,77.499609,"Complainant was added to a WhatsApp group promising 300% guaranteed returns. They transferred ₹1153281 to UPI ID user160@ybl. When trying to withdraw, the scammers vanished."
67,100031031202600067,202600067,2024-02-18,251,1031,1,2,3,17,3,18,2024-02-12 09:22:48,2024-02-14 00:22:48,2024-02-18 09:22:48,12.390756,76.651718,"Complainant was added to a WhatsApp group promising 300% guaranteed returns. They transferred ₹1826913 to UPI ID user160@ybl. When trying to withdraw, the scammers vanished."
68,100051049202600068,202600068,2025-08-14,986,1049,1,1,7,56,3,29,2025-08-05 17:08:42,2025-08-07 16:08:42,2025-08-14 17:08:42,15.950146,74.501672,Miscellaneous complaint registered regarding public nuisance and damage to public property.
69,100231174202600069,202600069,2025-06-10,585,1174,1,2,3,12,1,6,2025-06-07 12:17:11,2025-06-09 08:17:11,2025-06-10 12:17:11,16.810352,77.153711,The victim was found murdered in an isolated plot. Preliminary investigation suggests previous enmity as the motive.
70,100011002202600070,202600070,2025-08-01,868,1002,1,2,14,93,1,4,2025-07-26 21:16:54,2025-07-28 16:16:54,2025-08-01 21:16:54,12.928861,77.542701,The victim was found murdered in an isolated plot. Preliminary investigation suggests previous enmity as the motive.
71,100291214202600071,202600071,2025-04-30,217,1214,1,2,9,74,1,15,2025-04-21 08:56:21,2025-04-22 08:56:21,2025-04-30 08:56:21,15.308422,76.087997,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹201497 and cash were stolen.
72,100161130202600072,202600072,2026-05-14,679,1130,1,2,13,9,1,10,2026-05-11 20:45:45,2026-05-12 06:45:45,2026-05-14 20:45:45,11.939265,76.910624,"Fraudster contacted the victim from +918527331058 claiming to be bank staff. They asked to install an APK file. Shortly after, ₹22527 was debited from their SBI account."
73,100111092202600073,202600073,2024-05-22,186,1092,1,2,2,20,3,11,2024-05-12 12:58:27,2024-05-14 03:58:27,2024-05-22 12:58:27,13.829938,75.581729,Three unidentified men on a motorcycle intercepted the victim. They threatened with a machete and snatched a gold chain and mobile phone.
74,100121099202600074,202600074,2024-05-06,213,1099,1,1,10,87,2,44,2024-04-30 17:34:47,2024-05-01 21:34:47,2024-05-06 17:34:47,13.423102,77.046735,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹223523 and cash were stolen.
75,100051048202600075,202600075,2024-03-11,609,1048,1,2,14,23,1,9,2024-03-09 13:16:55,2024-03-09 14:16:55,2024-03-11 13:16:55,15.750583,74.491837,"Fraudster contacted the victim from +916297265480 claiming to be bank staff. They asked to install an APK file. Shortly after, ₹5503 was debited from their SBI account."
76,100011012202600076,202600076,2024-12-23,689,1012,3,1,14,74,1,26,2024-12-21 11:08:57,2024-12-22 08:08:57,2024-12-23 11:08:57,12.951898,77.508579,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
77,100091081202600077,202600077,2025-03-25,349,1081,1,2,14,76,1,26,2025-03-18 17:54:33,2025-03-19 00:54:33,2025-03-25 17:54:33,16.240118,77.424324,Victim received a video call from someone claiming to be CBI. They were told a FedEx courier with drugs was seized in their name. They transferred ₹180272 to clear their name.
78,100031030202600078,202600078,2025-04-26,459,1030,1,2,5,31,2,7,2025-04-22 23:52:26,2025-04-23 22:52:26,2025-04-26 23:52:26,12.217343,76.626456,Three unidentified men on a motorcycle intercepted the victim. They threatened with a machete and snatched a gold chain and mobile phone.
79,100011004202600079,202600079,2024-09-26,559,1004,4,2,19,83,2,41,2024-09-16 12:30:44,2024-09-18 02:30:44,2024-09-26 12:30:44,13.060402,77.495002,The accused posed as a real estate agent and collected ₹897143 as advance for a site. Later it was found the documents were forged.
80,100301221202600080,202600080,2025-05-06,562,1221,1,1,2,8,2,24,2025-05-01 02:30:44,2025-05-02 08:30:44,2025-05-06 02:30:44,15.46726,75.039396,Victim received a video call from someone claiming to be CBI. They were told a FedEx courier with drugs was seized in their name. They transferred ₹255849 to clear their name.
81,100181138202600081,202600081,2024-05-20,292,1138,4,2,11,78,1,31,2024-05-10 06:29:51,2024-05-12 00:29:51,2024-05-20 06:29:51,14.703717,74.880828,The accused posed as a real estate agent and collected ₹631699 as advance for a site. Later it was found the documents were forged.
82,100031024202600082,202600082,2025-11-30,262,1024,1,2,12,48,2,19,2025-11-21 20:43:08,2025-11-23 12:43:08,2025-11-30 20:43:08,12.216182,76.581897,"Complainant was added to a WhatsApp group promising 300% guaranteed returns. They transferred ₹1548028 to UPI ID invest169@okicici. When trying to withdraw, the scammers vanished."
83,100011013202600083,202600083,2025-06-09,841,1013,1,1,20,20,2,22,2025-06-04 15:14:29,2025-06-05 08:14:29,2025-06-09 15:14:29,13.074612,77.567811,The accused posed as a real estate agent and collected ₹154909 as advance for a site. Later it was found the documents were forged.
84,100011011202600084,202600084,2024-08-07,485,1011,1,2,11,17,4,43,2024-08-02 16:49:55,2024-08-04 04:49:55,2024-08-07 16:49:55,13.051472,77.642167,"During a raid, police apprehended a suspect carrying 258 grams of MDMA intended for distribution among college students."
85,100081071202600085,202600085,2025-10-19,240,1071,4,2,5,10,3,19,2025-10-15 17:44:00,2025-10-16 08:44:00,2025-10-19 17:44:00,15.06971,76.82656,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
86,100191146202600086,202600086,2026-02-27,485,1146,1,2,5,21,3,12,2026-02-24 16:02:39,2026-02-26 07:02:39,2026-02-27 16:02:39,12.899026,75.119362,Three unidentified men on a motorcycle intercepted the victim. They threatened with a machete and snatched a gold chain and mobile phone.
87,100181144202600087,202600087,2024-09-14,646,1144,1,2,8,40,2,31,2024-09-06 03:44:50,2024-09-06 18:44:50,2024-09-14 03:44:50,14.728116,74.820058,Three unidentified men on a motorcycle intercepted the victim. They threatened with a machete and snatched a gold chain and mobile phone.
88,100241178202600088,202600088,2025-07-25,920,1178,1,2,20,18,2,17,2025-07-22 10:06:17,2025-07-22 23:06:17,2025-07-25 10:06:17,15.518679,75.714575,The accused posed as a real estate agent and collected ₹698128 as advance for a site. Later it was found the documents were forged.
89,100011008202600089,202600089,2025-07-30,625,1008,3,1,5,56,3,6,2025-07-25 15:47:25,2025-07-26 20:47:25,2025-07-30 15:47:25,12.985681,77.617424,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
90,100271197202600090,202600090,2025-12-01,201,1197,1,2,11,19,1,9,2025-11-30 19:16:13,2025-12-01 16:16:13,2025-12-01 19:16:13,17.79506,77.503992,"During a raid, police apprehended a suspect carrying 312 grams of MDMA intended for distribution among college students."
91,100011015202600091,202600091,2026-01-03,661,1015,1,2,20,68,1,28,2025-12-30 22:23:47,2025-12-31 08:23:47,2026-01-03 22:23:47,13.051453,77.614109,The accused posed as a real estate agent and collected ₹245534 as advance for a site. Later it was found the documents were forged.
92,100011005202600092,202600092,2025-01-04,648,1005,1,1,1,81,3,33,2024-12-27 03:52:11,2024-12-28 18:52:11,2025-01-04 03:52:11,12.945522,77.506117,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹62517 and cash were stolen.
93,100041036202600093,202600093,2025-03-28,638,1036,1,2,18,65,2,33,2025-03-22 11:24:24,2025-03-22 16:24:24,2025-03-28 11:24:24,12.85041,74.947409,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹211168 and cash were stolen.
94,100041040202600094,202600094,2025-12-31,874,1040,1,2,11,18,2,3,2025-12-21 07:54:22,2025-12-23 07:54:22,2025-12-31 07:54:22,12.847726,74.816867,"Complainant was added to a WhatsApp group promising 300% guaranteed returns. They transferred ₹581943 to UPI ID invest169@okicici. When trying to withdraw, the scammers vanished."
95,100011006202600095,202600095,2024-09-28,400,1006,1,1,7,6,1,13,2024-09-20 23:47:44,2024-09-21 02:47:44,2024-09-28 23:47:44,12.922715,77.614904,The victim was found murdered in an isolated plot. Preliminary investigation suggests previous enmity as the motive.
96,100231173202600096,202600096,2025-04-26,986,1173,1,2,11,35,1,8,2025-04-20 16:28:00,2025-04-20 20:28:00,2025-04-26 16:28:00,16.873013,77.096744,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
97,100161129202600097,202600097,2025-09-13,920,1129,4,2,3,94,2,28,2025-09-04 09:53:33,2025-09-05 03:53:33,2025-09-13 09:53:33,11.902923,76.994535,Three unidentified men on a motorcycle intercepted the victim. They threatened with a machete and snatched a gold chain and mobile phone.
98,100011010202600098,202600098,2024-10-07,806,1010,1,2,15,45,2,29,2024-09-30 07:54:19,2024-09-30 18:54:19,2024-10-07 07:54:19,13.026334,77.479103,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
99,100011014202600099,202600099,2025-07-01,920,1014,3,1,6,4,2,10,2025-06-25 16:21:49,2025-06-27 01:21:49,2025-07-01 16:21:49,12.881131,77.533144,The accused posed as a real estate agent and collected ₹556068 as advance for a site. Later it was found the documents were forged.
100,100201158202600100,202600100,2025-11-11,480,1158,1,2,15,98,2,5,2025-11-03 16:16:01,2025-11-04 16:16:01,2025-11-11 16:16:01,12.719051,77.287334,Victim received a video call from someone claiming to be CBI. They were told a FedEx courier with drugs was seized in their name. They transferred ₹133729 to clear their name.
101,100041042202600101,202600101,2025-07-24,368,1042,1,1,9,91,2,29,2025-07-15 00:53:08,2025-07-15 08:53:08,2025-07-24 00:53:08,12.922165,74.953986,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹220278 and cash were stolen.
102,100011010202600102,202600102,2025-03-19,965,1010,1,1,11,86,3,23,2025-03-17 15:04:39,2025-03-19 11:04:39,2025-03-19 15:04:39,13.021493,77.481329,The accused posed as a real estate agent and collected ₹615060 as advance for a site. Later it was found the documents were forged.
103,100091082202600103,202600103,2026-04-22,224,1082,3,2,7,18,3,16,2026-04-13 05:36:48,2026-04-13 20:36:48,2026-04-22 05:36:48,16.159696,77.344495,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹128631 and cash were stolen.
