CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PoliceStationID,latitude,longitude,CaseCategoryID,GravityOffenceID,CaseStatusID,CrimeType,BriefFacts
71,"undefined","undefined","undefined",1012,undefined,undefined,1,2,3,"Assault/Violent","Detailed facts about Assault/Violent"
72,"undefined","undefined","undefined",1135,undefined,undefined,1,2,3,"Assault/Violent","Detailed facts about Assault/Violent"
73,"undefined","undefined","undefined",1032,undefined,undefined,1,2,1,"Theft/Property","Detailed facts about Theft/Property"
74,"undefined","undefined","undefined",1071,undefined,undefined,1,2,3,"Kidnapping","Detailed facts about Kidnapping"
75,"undefined","undefined","undefined",1165,undefined,undefined,1,2,3,"Cybercrime","Detailed facts about Cybercrime"
76,"undefined","undefined","undefined",1028,undefined,undefined,1,2,2,"Cybercrime","Detailed facts about Cybercrime"
77,"undefined","undefined","undefined",1003,undefined,undefined,1,1,2,"Fraud/Cheating","Detailed facts about Fraud/Cheating"
78,"undefined","undefined","undefined",1005,undefined,undefined,1,2,1,"Narcotics","Detailed facts about Narcotics"
79,"undefined","undefined","undefined",1050,undefined,undefined,1,1,1,"Assault/Violent","Detailed facts about Assault/Violent"
80,"undefined","undefined","undefined",1005,undefined,undefined,1,2,4,"Cybercrime","Detailed facts about Cybercrime"
81,"undefined","undefined","undefined",1103,undefined,undefined,1,2,2,"Fraud/Cheating","Detailed facts about Fraud/Cheating"
82,"undefined","undefined","undefined",1002,undefined,undefined,1,2,1,"Theft/Property","Detailed facts about Theft/Property"
83,"undefined","undefined","undefined",1019,undefined,undefined,1,1,1,"Robbery/Dacoity","Detailed facts about Robbery/Dacoity"
84,"undefined","undefined","undefined",1186,undefined,undefined,1,1,4,"Robbery/Dacoity","Detailed facts about Robbery/Dacoity"
85,"undefined","undefined","undefined",1164,undefined,undefined,1,1,2,"Others","Detailed facts about Others"
86,"undefined","undefined","undefined",1028,undefined,undefined,1,1,3,"Theft/Property","Detailed facts about Theft/Property"
87,"undefined","undefined","undefined",1043,undefined,undefined,1,1,4,"Fraud/Cheating","Detailed facts about Fraud/Cheating"
88,"undefined","undefined","undefined",1008,undefined,undefined,1,2,2,"Cybercrime","Detailed facts about Cybercrime"
89,"undefined","undefined","undefined",1093,undefined,undefined,1,1,1,"Fraud/Cheating","Detailed facts about Fraud/Cheating"
90,"undefined","undefined","undefined",1027,undefined,undefined,1,1,4,"Cybercrime","Detailed facts about Cybercrime"
91,"undefined","undefined","undefined",1209,undefined,undefined,1,1,1,"Theft/Property","Detailed facts about Theft/Property"
92,"undefined","undefined","undefined",1035,undefined,undefined,1,2,1,"Cybercrime","Detailed facts about Cybercrime"
93,"undefined","undefined","undefined",1154,undefined,undefined,1,1,1,"Assault/Violent","Detailed facts about Assault/Violent"
94,"undefined","undefined","undefined",1125,undefined,undefined,1,2,3,"Cybercrime","Detailed facts about Cybercrime"
95,"undefined","undefined","undefined",1025,undefined,undefined,1,2,2,"Assault/Violent","Detailed facts about Assault/Violent"
96,"undefined","undefined","undefined",1210,undefined,undefined,1,2,3,"Murder/Attempt","Detailed facts about Murder/Attempt"
97,"undefined","undefined","undefined",1003,undefined,undefined,1,2,2,"Cybercrime","Detailed facts about Cybercrime"
98,"undefined","undefined","undefined",1045,undefined,undefined,1,1,2,"Kidnapping","Detailed facts about Kidnapping"
99,"undefined","undefined","undefined",1006,undefined,undefined,1,1,4,"Theft/Property","Detailed facts about Theft/Property"
100,"undefined","undefined","undefined",1014,undefined,undefined,1,2,2,"Cybercrime","Detailed facts about Cybercrime"
101,"undefined","undefined","undefined",1002,undefined,undefined,1,1,1,"Theft/Property","Detailed facts about Theft/Property"
102,"undefined","undefined","undefined",1002,undefined,undefined,1,2,2,"Assault/Violent","Detailed facts about Assault/Violent"
103,"undefined","undefined","undefined",1005,undefined,undefined,1,2,1,"Cybercrime","Detailed facts about Cybercrime"
104,"undefined","undefined","undefined",1195,undefined,undefined,1,2,2,"Cybercrime","Detailed facts about Cybercrime"
105,"undefined","undefined","undefined",1003,undefined,undefined,1,2,3,"Cybercrime","Detailed facts about Cybercrime"
106,"undefined","undefined","undefined",1035,undefined,undefined,1,2,2,"Cybercrime","Detailed facts about Cybercrime"
107,"undefined","undefined","undefined",1009,undefined,undefined,1,2,1,"Theft/Property","Detailed facts about Theft/Property"
108,"undefined","undefined","undefined",1010,undefined,undefined,1,1,3,"Cybercrime","Detailed facts about Cybercrime"
109,"undefined","undefined","undefined",1007,undefined,undefined,1,2,3,"Fraud/Cheating","Detailed facts about Fraud/Cheating"
110,"undefined","undefined","undefined",1031,undefined,undefined,1,2,1,"Kidnapping","Detailed facts about Kidnapping"
111,"undefined","undefined","undefined",1006,undefined,undefined,1,1,3,"Murder/Attempt","Detailed facts about Murder/Attempt"
112,"undefined","undefined","undefined",1010,undefined,undefined,1,2,1,"Assault/Violent","Detailed facts about Assault/Violent"
113,"undefined","undefined","undefined",1025,undefined,undefined,1,2,3,"Assault/Violent","Detailed facts about Assault/Violent"
114,"undefined","undefined","undefined",1003,undefined,undefined,1,2,2,"Cybercrime","Detailed facts about Cybercrime"
115,"undefined","undefined","undefined",1049,undefined,undefined,1,1,2,"Cybercrime","Detailed facts about Cybercrime"
116,"undefined","undefined","undefined",1008,undefined,undefined,1,2,2,"Cybercrime","Detailed facts about Cybercrime"
117,"undefined","undefined","undefined",1034,undefined,undefined,1,1,1,"Narcotics","Detailed facts about Narcotics"
118,"undefined","undefined","undefined",1015,undefined,undefined,1,2,4,"Others","Detailed facts about Others"
119,"undefined","undefined","undefined",1033,undefined,undefined,1,2,3,"Theft/Property","Detailed facts about Theft/Property"
120,"undefined","undefined","undefined",1053,undefined,undefined,1,2,1,"Cybercrime","Detailed facts about Cybercrime"
121,"undefined","undefined","undefined",1011,undefined,undefined,1,2,4,"Narcotics","Detailed facts about Narcotics"
122,"undefined","undefined","undefined",1007,undefined,undefined,1,2,2,"Murder/Attempt","Detailed facts about Murder/Attempt"
123,"undefined","undefined","undefined",1058,undefined,undefined,1,2,1,"Theft/Property","Detailed facts about Theft/Property"
124,"undefined","undefined","undefined",1225,undefined,undefined,1,2,1,"Theft/Property","Detailed facts about Theft/Property"
125,"undefined","undefined","undefined",1013,undefined,undefined,1,2,4,"Assault/Violent","Detailed facts about Assault/Violent"
126,"undefined","undefined","undefined",1085,undefined,undefined,1,2,2,"Theft/Property","Detailed facts about Theft/Property"
127,"undefined","undefined","undefined",1038,undefined,undefined,1,1,1,"Theft/Property","Detailed facts about Theft/Property"
128,"undefined","undefined","undefined",1036,undefined,undefined,1,2,2,"Murder/Attempt","Detailed facts about Murder/Attempt"
129,"undefined","undefined","undefined",1014,undefined,undefined,1,2,1,"Kidnapping","Detailed facts about Kidnapping"
130,"undefined","undefined","undefined",1027,undefined,undefined,1,2,1,"Narcotics","Detailed facts about Narcotics"
131,"undefined","undefined","undefined",1015,undefined,undefined,1,1,3,"Murder/Attempt","Detailed facts about Murder/Attempt"
132,"undefined","undefined","undefined",1072,undefined,undefined,1,2,2,"Theft/Property","Detailed facts about Theft/Property"
133,"undefined","undefined","undefined",1028,undefined,undefined,1,1,3,"Theft/Property","Detailed facts about Theft/Property"
134,"undefined","undefined","undefined",1032,undefined,undefined,1,2,1,"Fraud/Cheating","Detailed facts about Fraud/Cheating"
135,"undefined","undefined","undefined",1017,undefined,undefined,1,2,2,"Others","Detailed facts about Others"
136,"undefined","undefined","undefined",1008,undefined,undefined,1,2,3,"Fraud/Cheating","Detailed facts about Fraud/Cheating"
137,"undefined","undefined","undefined",1061,undefined,undefined,1,2,2,"Cybercrime","Detailed facts about Cybercrime"
138,"undefined","undefined","undefined",1054,undefined,undefined,1,2,1,"Fraud/Cheating","Detailed facts about Fraud/Cheating"
139,"undefined","undefined","undefined",1007,undefined,undefined,1,2,1,"Assault/Violent","Detailed facts about Assault/Violent"
140,"undefined","undefined","undefined",1056,undefined,undefined,1,2,1,"Robbery/Dacoity","Detailed facts about Robbery/Dacoity"
141,"undefined","undefined","undefined",1012,undefined,undefined,1,1,2,"Theft/Property","Detailed facts about Theft/Property"
142,"undefined","undefined","undefined",1142,undefined,undefined,1,2,1,"Theft/Property","Detailed facts about Theft/Property"
143,"undefined","undefined","undefined",1031,undefined,undefined,1,2,3,"Robbery/Dacoity","Detailed facts about Robbery/Dacoity"
144,"undefined","undefined","undefined",1011,undefined,undefined,1,2,2,"Theft/Property","Detailed facts about Theft/Property"
145,"undefined","undefined","undefined",1026,undefined,undefined,1,2,4,"Cybercrime","Detailed facts about Cybercrime"
146,"undefined","undefined","undefined",1013,undefined,undefined,1,1,1,"Assault/Violent","Detailed facts about Assault/Violent"
147,"undefined","undefined","undefined",1095,undefined,undefined,1,1,2,"Theft/Property","Detailed facts about Theft/Property"
148,"undefined","undefined","undefined",1077,undefined,undefined,1,2,4,"Cybercrime","Detailed facts about Cybercrime"
149,"undefined","undefined","undefined",1221,undefined,undefined,1,2,3,"Assault/Violent","Detailed facts about Assault/Violent"
150,"undefined","undefined","undefined",1006,undefined,undefined,1,2,1,"Cybercrime","Detailed facts about Cybercrime"
151,"undefined","undefined","undefined",1130,undefined,undefined,1,2,2,"Fraud/Cheating","Detailed facts about Fraud/Cheating"
152,"undefined","undefined","undefined",1010,undefined,undefined,1,2,3,"Cybercrime","Detailed facts about Cybercrime"
153,"undefined","undefined","undefined",1054,undefined,undefined,1,2,1,"Theft/Property","Detailed facts about Theft/Property"
154,"undefined","undefined","undefined",1190,undefined,undefined,1,1,4,"Others","Detailed facts about Others"
155,"undefined","undefined","undefined",1011,undefined,undefined,1,1,2,"Fraud/Cheating","Detailed facts about Fraud/Cheating"
156,"undefined","undefined","undefined",1089,undefined,undefined,1,1,2,"Murder/Attempt","Detailed facts about Murder/Attempt"
157,"undefined","undefined","undefined",1037,undefined,undefined,1,2,1,"Theft/Property","Detailed facts about Theft/Property"
158,"undefined","undefined","undefined",1013,undefined,undefined,1,2,1,"Theft/Property","Detailed facts about Theft/Property"
159,"undefined","undefined","undefined",1014,undefined,undefined,1,2,2,"Robbery/Dacoity","Detailed facts about Robbery/Dacoity"
160,"undefined","undefined","undefined",1008,undefined,undefined,1,2,2,"Theft/Property","Detailed facts about Theft/Property"
161,"undefined","undefined","undefined",1211,undefined,undefined,1,2,2,"Others","Detailed facts about Others"
162,"undefined","undefined","undefined",1168,undefined,undefined,1,1,2,"Cybercrime","Detailed facts about Cybercrime"
163,"undefined","undefined","undefined",1170,undefined,undefined,1,2,3,"Theft/Property","Detailed facts about Theft/Property"
164,"undefined","undefined","undefined",1007,undefined,undefined,1,2,3,"Assault/Violent","Detailed facts about Assault/Violent"
165,"undefined","undefined","undefined",1010,undefined,undefined,1,2,1,"Cybercrime","Detailed facts about Cybercrime"
166,"undefined","undefined","undefined",1050,undefined,undefined,1,1,3,"Cybercrime","Detailed facts about Cybercrime"
167,"undefined","undefined","undefined",1015,undefined,undefined,1,2,2,"Cybercrime","Detailed facts about Cybercrime"
168,"undefined","undefined","undefined",1024,undefined,undefined,1,2,2,"Theft/Property","Detailed facts about Theft/Property"
169,"undefined","undefined","undefined",1008,undefined,undefined,1,2,2,"Others","Detailed facts about Others"
170,"undefined","undefined","undefined",1011,undefined,undefined,1,2,2,"Cybercrime","Detailed facts about Cybercrime"
171,"undefined","undefined","undefined",1019,undefined,undefined,1,2,3,"Assault/Violent","Detailed facts about Assault/Violent"
172,"undefined","undefined","undefined",1032,undefined,undefined,1,2,2,"Others","Detailed facts about Others"
173,"undefined","undefined","undefined",1038,undefined,undefined,1,1,1,"Cybercrime","Detailed facts about Cybercrime"
174,"undefined","undefined","undefined",1012,undefined,undefined,1,1,2,"Theft/Property","Detailed facts about Theft/Property"
175,"undefined","undefined","undefined",1040,undefined,undefined,1,2,1,"Others","Detailed facts about Others"
176,"undefined","undefined","undefined",1028,undefined,undefined,1,2,1,"Cybercrime","Detailed facts about Cybercrime"
177,"undefined","undefined","undefined",1060,undefined,undefined,1,1,4,"Theft/Property","Detailed facts about Theft/Property"
178,"undefined","undefined","undefined",1218,undefined,undefined,1,2,2,"Fraud/Cheating","Detailed facts about Fraud/Cheating"
179,"undefined","undefined","undefined",1177,undefined,undefined,1,1,4,"Cybercrime","Detailed facts about Cybercrime"
180,"undefined","undefined","undefined",1227,undefined,undefined,1,2,1,"Cybercrime","Detailed facts about Cybercrime"
181,"undefined","undefined","undefined",1228,undefined,undefined,1,1,1,"Assault/Violent","Detailed facts about Assault/Violent"
182,"undefined","undefined","undefined",1008,undefined,undefined,1,2,1,"Fraud/Cheating","Detailed facts about Fraud/Cheating"
183,"undefined","undefined","undefined",1156,undefined,undefined,1,1,1,"Assault/Violent","Detailed facts about Assault/Violent"
184,"undefined","undefined","undefined",1005,undefined,undefined,1,2,1,"Cybercrime","Detailed facts about Cybercrime"
185,"undefined","undefined","undefined",1059,undefined,undefined,1,2,1,"Cybercrime","Detailed facts about Cybercrime"
186,"undefined","undefined","undefined",1206,undefined,undefined,1,2,3,"Assault/Violent","Detailed facts about Assault/Violent"
187,"undefined","undefined","undefined",1127,undefined,undefined,1,2,1,"Fraud/Cheating","Detailed facts about Fraud/Cheating"
188,"undefined","undefined","undefined",1034,undefined,undefined,1,2,1,"Narcotics","Detailed facts about Narcotics"
189,"undefined","undefined","undefined",1010,undefined,undefined,1,1,2,"Cybercrime","Detailed facts about Cybercrime"
190,"undefined","undefined","undefined",1131,undefined,undefined,1,2,3,"Theft/Property","Detailed facts about Theft/Property"
191,"undefined","undefined","undefined",1034,undefined,undefined,1,1,2,"Others","Detailed facts about Others"
192,"undefined","undefined","undefined",1088,undefined,undefined,1,2,2,"Others","Detailed facts about Others"
193,"undefined","undefined","undefined",1060,undefined,undefined,1,1,4,"Fraud/Cheating","Detailed facts about Fraud/Cheating"
194,"undefined","undefined","undefined",1145,undefined,undefined,1,1,2,"Assault/Violent","Detailed facts about Assault/Violent"
195,"undefined","undefined","undefined",1004,undefined,undefined,1,1,1,"Cybercrime","Detailed facts about Cybercrime"
196,"undefined","undefined","undefined",1010,undefined,undefined,1,2,1,"Cybercrime","Detailed facts about Cybercrime"
197,"undefined","undefined","undefined",1225,undefined,undefined,1,2,4,"Theft/Property","Detailed facts about Theft/Property"
198,"undefined","undefined","undefined",1030,undefined,undefined,1,2,2,"Theft/Property","Detailed facts about Theft/Property"
199,"undefined","undefined","undefined",1029,undefined,undefined,1,2,3,"Robbery/Dacoity","Detailed facts about Robbery/Dacoity"
200,"undefined","undefined","undefined",1027,undefined,undefined,1,2,2,"Kidnapping","Detailed facts about Kidnapping"
201,"undefined","undefined","undefined",1040,undefined,undefined,1,1,3,"Theft/Property","Detailed facts about Theft/Property"
202,"undefined","undefined","undefined",1005,undefined,undefined,1,2,2,"Fraud/Cheating","Detailed facts about Fraud/Cheating"
203,"undefined","undefined","undefined",1004,undefined,undefined,1,1,4,"Theft/Property","Detailed facts about Theft/Property"
204,"undefined","undefined","undefined",1027,undefined,undefined,1,2,1,"Theft/Property","Detailed facts about Theft/Property"
205,"undefined","undefined","undefined",1009,undefined,undefined,1,2,1,"Assault/Violent","Detailed facts about Assault/Violent"
206,"undefined","undefined","undefined",1001,undefined,undefined,1,2,3,"Kidnapping","Detailed facts about Kidnapping"
207,"undefined","undefined","undefined",1004,undefined,undefined,1,2,2,"Cybercrime","Detailed facts about Cybercrime"
208,"undefined","undefined","undefined",1090,undefined,undefined,1,2,1,"Assault/Violent","Detailed facts about Assault/Violent"
209,"undefined","undefined","undefined",1176,undefined,undefined,1,1,1,"Assault/Violent","Detailed facts about Assault/Violent"
210,"undefined","undefined","undefined",1011,undefined,undefined,1,2,2,"Theft/Property","Detailed facts about Theft/Property"
211,"undefined","undefined","undefined",1031,undefined,undefined,1,1,2,"Cybercrime","Detailed facts about Cybercrime"
212,"undefined","undefined","undefined",1076,undefined,undefined,1,2,1,"Cybercrime","Detailed facts about Cybercrime"
213,"undefined","undefined","undefined",1006,undefined,undefined,1,2,1,"Assault/Violent","Detailed facts about Assault/Violent"
214,"undefined","undefined","undefined",1229,undefined,undefined,1,1,3,"Cybercrime","Detailed facts about Cybercrime"
215,"undefined","undefined","undefined",1057,undefined,undefined,1,1,4,"Others","Detailed facts about Others"
216,"undefined","undefined","undefined",1069,undefined,undefined,1,1,4,"Cybercrime","Detailed facts about Cybercrime"
217,"undefined","undefined","undefined",1004,undefined,undefined,1,2,2,"Cybercrime","Detailed facts about Cybercrime"
218,"undefined","undefined","undefined",1040,undefined,undefined,1,2,1,"Robbery/Dacoity","Detailed facts about Robbery/Dacoity"
219,"undefined","undefined","undefined",1002,undefined,undefined,1,1,1,"Fraud/Cheating","Detailed facts about Fraud/Cheating"
220,"undefined","undefined","undefined",1227,undefined,undefined,1,2,1,"Theft/Property","Detailed facts about Theft/Property"
221,"undefined","undefined","undefined",1002,undefined,undefined,1,2,1,"Theft/Property","Detailed facts about Theft/Property"
222,"undefined","undefined","undefined",1005,undefined,undefined,1,2,2,"Theft/Property","Detailed facts about Theft/Property"
223,"undefined","undefined","undefined",1002,undefined,undefined,1,1,2,"Assault/Violent","Detailed facts about Assault/Violent"
224,"undefined","undefined","undefined",1119,undefined,undefined,1,1,1,"Narcotics","Detailed facts about Narcotics"
225,"undefined","undefined","undefined",1025,undefined,undefined,1,2,3,"Theft/Property","Detailed facts about Theft/Property"
226,"undefined","undefined","undefined",1033,undefined,undefined,1,2,1,"Assault/Violent","Detailed facts about Assault/Violent"
227,"undefined","undefined","undefined",1162,undefined,undefined,1,2,4,"Theft/Property","Detailed facts about Theft/Property"
228,"undefined","undefined","undefined",1006,undefined,undefined,1,2,2,"Others","Detailed facts about Others"
229,"undefined","undefined","undefined",1007,undefined,undefined,1,2,2,"Murder/Attempt","Detailed facts about Murder/Attempt"
230,"undefined","undefined","undefined",1062,undefined,undefined,1,2,2,"Theft/Property","Detailed facts about Theft/Property"
231,"undefined","undefined","undefined",1028,undefined,undefined,1,2,2,"Theft/Property","Detailed facts about Theft/Property"
232,"undefined","undefined","undefined",1009,undefined,undefined,1,2,2,"Assault/Violent","Detailed facts about Assault/Violent"
233,"undefined","undefined","undefined",1013,undefined,undefined,1,2,2,"Fraud/Cheating","Detailed facts about Fraud/Cheating"
234,"undefined","undefined","undefined",1212,undefined,undefined,1,2,1,"Cybercrime","Detailed facts about Cybercrime"
235,"undefined","undefined","undefined",1008,undefined,undefined,1,1,4,"Cybercrime","Detailed facts about Cybercrime"
236,"undefined","undefined","undefined",1005,undefined,undefined,1,2,2,"Assault/Violent","Detailed facts about Assault/Violent"
237,"undefined","undefined","undefined",1005,undefined,undefined,1,2,1,"Murder/Attempt","Detailed facts about Murder/Attempt"
238,"undefined","undefined","undefined",1219,undefined,undefined,1,2,1,"Cybercrime","Detailed facts about Cybercrime"
239,"undefined","undefined","undefined",1058,undefined,undefined,1,1,3,"Cybercrime","Detailed facts about Cybercrime"
240,"undefined","undefined","undefined",1132,undefined,undefined,1,2,2,"Cybercrime","Detailed facts about Cybercrime"
241,"undefined","undefined","undefined",1061,undefined,undefined,1,1,2,"Fraud/Cheating","Detailed facts about Fraud/Cheating"
242,"undefined","undefined","undefined",1130,undefined,undefined,1,2,2,"Fraud/Cheating","Detailed facts about Fraud/Cheating"
243,"undefined","undefined","undefined",1018,undefined,undefined,1,2,1,"Theft/Property","Detailed facts about Theft/Property"
244,"undefined","undefined","undefined",1005,undefined,undefined,1,1,1,"Cybercrime","Detailed facts about Cybercrime"
245,"undefined","undefined","undefined",1041,undefined,undefined,1,2,3,"Fraud/Cheating","Detailed facts about Fraud/Cheating"
246,"undefined","undefined","undefined",1001,undefined,undefined,1,2,1,"Cybercrime","Detailed facts about Cybercrime"
