ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
79,45,1,2026-04-22,29,25,1159,696,43,125,1,0
80,46,1,2024-07-07,29,9,1031,129,46,129,1,0
81,48,1,2025-06-11,29,31,1124,547,30,131,1,0
82,49,1,2026-04-24,29,3,1013,247,34,132,1,0
83,49,2,2026-04-24,29,12,1013,709,36,133,1,0
84,49,1,2026-04-24,29,4,1013,986,42,135,1,0
85,50,1,2024-08-24,29,9,1011,460,25,138,1,0
86,53,1,2025-03-31,29,31,1001,213,35,144,1,0
87,54,1,2026-06-24,29,30,1015,638,35,147,1,0
88,54,1,2026-06-24,29,29,1015,353,38,149,1,0
89,55,1,2025-01-23,29,5,1007,114,30,150,1,0
90,55,1,2025-01-23,29,26,1007,355,1,151,1,0
91,56,1,2026-05-29,29,3,1001,330,12,152,1,0
92,57,1,2024-07-31,29,31,1005,881,20,155,1,0
93,58,2,2025-07-22,29,30,1009,888,49,157,1,0
94,60,1,2026-06-27,29,5,1056,167,43,163,1,0
95,60,1,2026-06-27,29,27,1056,903,34,164,1,0
96,61,1,2025-04-14,29,19,1059,931,19,165,1,0
97,62,1,2026-04-19,29,23,1208,868,30,167,1,0
98,62,1,2026-04-19,29,7,1208,764,45,168,1,0
99,63,1,2025-07-17,29,22,1027,739,20,169,1,0
100,63,1,2025-07-17,29,25,1027,259,24,170,1,0
101,64,1,2024-03-19,29,19,1044,782,20,171,1,0
102,64,1,2024-03-19,29,14,1044,624,36,173,1,0
103,66,1,2024-03-22,29,3,1005,804,11,178,1,0
104,66,1,2024-03-22,29,15,1005,154,18,179,1,0
105,66,1,2024-03-22,29,20,1005,474,41,180,1,0
106,68,2,2025-08-14,29,18,1049,243,47,185,1,0
107,69,1,2025-06-10,29,13,1174,780,20,186,1,0
108,69,1,2025-06-10,29,4,1174,488,16,187,1,0
109,69,1,2025-06-10,29,28,1174,170,48,189,1,0
110,70,1,2025-08-01,29,25,1002,644,4,190,1,0
111,71,1,2025-04-30,29,27,1214,188,47,193,1,0
112,72,1,2026-05-14,29,8,1130,715,32,194,1,0
113,72,1,2026-05-14,29,20,1130,347,2,195,1,0
114,73,1,2024-05-22,29,25,1092,342,20,197,1,0
115,73,2,2024-05-22,29,16,1092,633,10,198,1,0
116,76,1,2024-12-23,29,9,1012,507,13,204,1,0
117,77,1,2025-03-25,29,21,1081,170,16,205,1,0
118,78,1,2025-04-26,29,7,1030,391,11,206,1,0
119,78,1,2025-04-26,29,25,1030,957,2,207,1,0
120,79,1,2024-09-26,29,17,1004,475,18,209,1,0
121,79,1,2024-09-26,29,6,1004,657,6,210,1,0
122,79,1,2024-09-26,29,12,1004,211,3,211,1,0
123,80,1,2025-05-06,29,29,1221,670,44,212,1,0
124,81,1,2024-05-20,29,17,1138,187,17,214,1,0
125,81,2,2024-05-20,29,1,1138,199,21,215,1,0
126,82,1,2025-11-30,29,26,1024,206,39,217,1,0
127,83,1,2025-06-09,29,27,1013,630,50,219,1,0
128,83,1,2025-06-09,29,12,1013,453,30,220,1,0
129,87,1,2024-09-14,29,1,1144,187,38,227,1,0
130,87,1,2024-09-14,29,6,1144,467,31,228,1,0
131,87,2,2024-09-14,29,21,1144,720,30,229,1,0
132,89,2,2025-07-30,29,11,1008,441,30,232,1,0
133,90,1,2025-12-01,29,1,1197,344,40,233,1,0
134,90,1,2025-12-01,29,15,1197,494,26,234,1,0
135,91,1,2026-01-03,29,29,1015,850,16,236,1,0
136,92,2,2025-01-04,29,9,1005,367,49,238,1,0
137,93,1,2025-03-28,29,28,1036,357,25,240,1,0
138,94,1,2025-12-31,29,18,1040,390,10,241,1,0
139,95,1,2024-09-28,29,20,1006,318,11,242,1,0
140,95,1,2024-09-28,29,15,1006,730,48,243,1,0
141,95,1,2024-09-28,29,16,1006,663,10,244,1,0
142,97,1,2025-09-13,29,11,1129,663,20,247,1,0
143,97,1,2025-09-13,29,7,1129,799,10,248,1,0
144,98,1,2024-10-07,29,2,1010,340,15,249,1,0
145,98,2,2024-10-07,29,14,1010,163,6,250,1,0
146,98,1,2024-10-07,29,8,1010,576,21,251,1,0
147,99,1,2025-07-01,29,3,1014,636,31,253,1,0
148,99,1,2025-07-01,29,9,1014,796,15,255,1,0
149,100,1,2025-11-11,29,5,1158,894,40,256,1,0
150,100,1,2025-11-11,29,3,1158,765,45,257,1,0
151,100,1,2025-11-11,29,12,1158,247,19,258,1,0
152,101,1,2025-07-24,29,10,1042,956,46,259,1,0
153,102,1,2025-03-19,29,13,1010,423,23,260,1,0
154,103,1,2026-04-22,29,21,1082,274,47,261,1,0
155,103,1,2026-04-22,29,2,1082,118,38,262,1,0
156,104,1,2025-07-14,29,27,1121,497,32,263,1,0
157,104,1,2025-07-14,29,31,1121,794,13,265,1,0
158,105,1,2026-06-12,29,29,1113,713,24,266,1,0
159,106,1,2024-07-11,29,29,1183,791,4,268,1,0
160,106,1,2024-07-11,29,9,1183,627,12,269,1,0
161,108,1,2024-05-06,29,9,1138,429,20,273,1,0
162,108,1,2024-05-06,29,22,1138,911,13,274,1,0
163,109,1,2025-09-22,29,13,1131,563,33,275,1,0
164,109,1,2025-09-22,29,7,1131,689,38,276,1,0
165,109,1,2025-09-22,29,18,1131,687,43,277,1,0
166,110,1,2025-07-29,29,28,1218,941,7,278,1,0
167,110,1,2025-07-29,29,9,1218,357,9,280,1,0
168,111,2,2025-05-23,29,4,1211,691,38,282,1,0
169,111,1,2025-05-23,29,19,1211,171,47,284,1,0
170,112,1,2024-11-30,29,25,1027,685,37,285,1,0
171,112,1,2024-11-30,29,28,1027,142,41,286,1,0
172,113,1,2025-07-22,29,31,1170,202,34,289,1,0
173,114,1,2024-07-03,29,6,1010,946,4,291,1,0
174,114,1,2024-07-03,29,30,1010,734,35,292,1,0
175,115,1,2025-06-01,29,30,1012,269,47,294,1,0
176,115,1,2025-06-01,29,22,1012,332,46,295,1,0
177,118,1,2024-08-23,29,21,1030,984,18,299,1,0
178,118,1,2024-08-23,29,25,1030,640,37,300,1,0
179,119,1,2026-01-13,29,30,1011,705,14,301,1,0
180,120,1,2025-04-07,29,18,1037,545,19,303,1,0
181,121,1,2025-06-20,29,28,1007,119,34,304,1,0
182,122,1,2026-05-23,29,4,1140,786,18,305,1,0
183,124,1,2024-04-01,29,11,1011,188,36,310,1,0
184,125,1,2025-03-25,29,2,1122,929,36,312,1,0
185,125,1,2025-03-25,29,29,1122,720,39,315,1,0
186,126,1,2024-06-23,29,16,1013,452,1,316,1,0
187,128,1,2025-04-14,29,14,1104,162,29,318,1,0
188,128,1,2025-04-14,29,14,1104,932,9,319,1,0
189,128,1,2025-04-14,29,29,1104,813,39,321,1,0
190,129,1,2025-04-28,29,18,1194,857,2,323,1,0
191,130,1,2026-04-15,29,5,1077,902,28,325,1,0
192,130,1,2026-04-15,29,30,1077,834,45,326,1,0
193,131,1,2026-04-30,29,13,1014,585,33,328,1,0
194,131,1,2026-04-30,29,21,1014,179,7,329,1,0
195,131,1,2026-04-30,29,22,1014,218,25,330,1,0
196,132,1,2025-12-05,29,9,1024,190,2,331,1,0
197,132,1,2025-12-05,29,17,1024,899,17,332,1,0
198,133,1,2024-04-17,29,8,1070,658,16,336,1,0
199,133,1,2024-04-17,29,25,1070,809,3,337,1,0
200,134,1,2026-04-17,29,8,1011,561,33,338,1,0
201,134,2,2026-04-17,29,26,1011,225,41,340,1,0
202,135,1,2025-01-19,29,10,1004,645,11,341,1,0
203,135,2,2025-01-19,29,16,1004,985,16,343,1,0
204,138,1,2024-09-29,29,3,1043,218,19,347,1,0
205,139,1,2026-04-15,29,17,1003,526,29,348,1,0
206,139,2,2026-04-15,29,12,1003,203,36,349,1,0
207,140,1,2024-11-11,29,27,1005,793,23,350,1,0
208,140,1,2024-11-11,29,14,1005,244,49,352,1,0
209,141,1,2026-05-18,29,15,1166,810,9,353,1,0
210,141,1,2026-05-18,29,17,1166,525,19,354,1,0
211,141,1,2026-05-18,29,11,1166,656,1,355,1,0
212,141,1,2026-05-18,29,3,1166,460,31,356,1,0
213,142,1,2025-09-08,29,18,1047,764,41,357,1,0
214,142,1,2025-09-08,29,4,1047,744,35,358,1,0
215,142,1,2025-09-08,29,27,1047,154,46,359,1,0
216,143,2,2024-11-11,29,20,1029,762,15,361,1,0
217,143,1,2024-11-11,29,26,1029,239,42,362,1,0
218,143,1,2024-11-11,29,28,1029,263,23,363,1,0
219,146,2,2024-04-15,29,13,1148,501,19,369,1,0
220,147,1,2024-01-26,29,9,1034,870,49,372,1,0
221,150,1,2026-05-30,29,3,1015,326,27,376,1,0
222,150,1,2026-05-30,29,14,1015,567,38,377,1,0
223,151,1,2024-04-29,29,21,1050,835,1,378,1,0
224,151,1,2024-04-29,29,13,1050,848,50,379,1,0
225,152,1,2024-05-31,29,13,1210,457,8,380,1,0
226,153,1,2025-08-06,29,6,1009,167,24,382,1,0
227,153,1,2025-08-06,29,18,1009,492,10,383,1,0
228,154,1,2025-08-28,29,20,1122,328,23,384,1,0
229,154,1,2025-08-28,29,4,1122,223,33,385,1,0
230,155,1,2024-02-10,29,7,1025,387,36,386,1,0
231,155,1,2024-02-10,29,31,1025,804,29,388,1,0
232,155,1,2024-02-10,29,23,1025,364,16,389,1,0
233,156,1,2024-09-20,29,9,1007,887,18,390,1,0
234,156,1,2024-09-20,29,23,1007,939,24,391,1,0
235,158,1,2026-01-14,29,28,1047,560,41,396,1,0
236,159,2,2024-11-06,29,2,1010,424,47,399,1,0
237,161,1,2025-07-12,29,2,1016,141,44,401,1,0
238,162,1,2025-05-30,29,29,1222,451,1,404,1,0
239,162,1,2025-05-30,29,9,1222,180,4,405,1,0
240,164,1,2026-01-09,29,12,1029,741,19,407,1,0
241,164,1,2026-01-09,29,25,1029,489,23,409,1,0
242,165,2,2024-09-05,29,15,1032,990,45,411,1,0
243,165,1,2024-09-05,29,23,1032,990,27,412,1,0
244,165,1,2024-09-05,29,3,1032,209,20,413,1,0
245,165,1,2024-09-05,29,19,1032,809,20,414,1,0
246,166,1,2024-01-07,29,26,1050,313,2,415,1,0
247,166,1,2024-01-07,29,8,1050,356,25,416,1,0
248,166,1,2024-01-07,29,14,1050,430,49,417,1,0
249,166,2,2024-01-07,29,30,1050,982,48,418,1,0
250,167,1,2026-01-30,29,30,1011,616,44,420,1,0
251,168,1,2025-05-01,29,15,1003,219,20,424,1,0
252,168,2,2025-05-01,29,11,1003,595,21,425,1,0
253,168,1,2025-05-01,29,4,1003,849,8,426,1,0
254,169,1,2026-05-12,29,3,1190,836,37,427,1,0
255,170,2,2026-02-02,29,9,1058,965,12,428,1,0
256,172,1,2025-01-19,29,2,1014,513,43,432,1,0
257,172,1,2025-01-19,29,4,1014,204,6,434,1,0
258,173,1,2025-10-27,29,27,1163,137,50,435,1,0
259,174,1,2026-03-10,29,13,1014,101,28,436,1,0
260,174,1,2026-03-10,29,4,1014,604,25,437,1,0
261,174,1,2026-03-10,29,30,1014,797,4,438,1,0
262,174,1,2026-03-10,29,8,1014,774,8,439,1,0
263,175,1,2025-01-19,29,31,1084,379,8,442,1,0
264,177,1,2026-02-07,29,18,1211,824,6,445,1,0
265,177,1,2026-02-07,29,2,1211,994,22,446,1,0
266,178,1,2025-11-16,29,23,1190,981,31,447,1,0
267,179,1,2025-07-31,29,11,1002,462,1,448,1,0
268,179,1,2025-07-31,29,30,1002,839,46,449,1,0
269,180,1,2024-12-17,29,13,1010,666,42,451,1,0
270,180,1,2024-12-17,29,31,1010,854,34,452,1,0
271,180,1,2024-12-17,29,12,1010,813,13,453,1,0
272,181,1,2025-05-01,29,10,1126,950,36,454,1,0
273,181,2,2025-05-01,29,2,1126,404,8,455,1,0
274,181,1,2025-05-01,29,8,1126,613,9,456,1,0
275,181,1,2025-05-01,29,15,1126,878,27,457,1,0
276,182,1,2025-06-29,29,23,1059,917,13,458,1,0
277,182,1,2025-06-29,29,21,1059,944,11,460,1,0
278,182,1,2025-06-29,29,4,1059,241,19,461,1,0
279,183,1,2025-05-03,29,20,1007,506,22,462,1,0
280,183,1,2025-05-03,29,26,1007,251,2,463,1,0
281,183,1,2025-05-03,29,2,1007,903,27,465,1,0
282,185,1,2026-06-01,29,11,1014,202,18,467,1,0
283,185,1,2026-06-01,29,29,1014,666,44,468,1,0
284,185,1,2026-06-01,29,14,1014,658,26,469,1,0
285,186,1,2026-02-25,29,21,1199,835,5,470,1,0
286,186,1,2026-02-25,29,30,1199,473,27,471,1,0
287,187,1,2024-08-29,29,28,1027,280,15,475,1,0
288,187,1,2024-08-29,29,25,1027,147,26,476,1,0
289,188,1,2024-06-29,29,15,1007,640,11,478,1,0
290,189,1,2024-09-16,29,20,1028,925,6,479,1,0
291,189,1,2024-09-16,29,14,1028,918,15,480,1,0
292,189,1,2024-09-16,29,26,1028,525,10,481,1,0
293,189,1,2024-09-16,29,24,1028,527,1,482,1,0
294,190,1,2026-02-09,29,19,1217,576,48,483,1,0
295,190,1,2026-02-09,29,15,1217,986,30,484,1,0
296,190,1,2026-02-09,29,7,1217,396,35,485,1,0
297,191,1,2024-01-20,29,16,1024,927,25,486,1,0
298,193,1,2024-05-14,29,21,1150,683,48,490,1,0
299,194,1,2026-04-29,29,13,1015,945,14,493,1,0
300,195,1,2026-04-03,29,22,1004,665,14,494,1,0
301,198,1,2024-11-18,29,23,1006,632,1,498,1,0
302,199,2,2025-09-07,29,16,1080,663,39,499,1,0
303,199,1,2025-09-07,29,30,1080,439,28,500,1,0
304,199,1,2025-09-07,29,5,1080,698,42,501,1,0
305,200,1,2024-07-07,29,17,1026,609,43,502,1,0
306,201,1,2025-11-19,29,12,1011,502,2,504,1,0
307,201,1,2025-11-19,29,26,1011,450,50,505,1,0
308,202,1,2025-10-24,29,3,1030,970,15,507,1,0
309,202,1,2025-10-24,29,13,1030,574,28,508,1,0
310,203,1,2025-03-10,29,23,1025,377,16,511,1,0
311,203,2,2025-03-10,29,1,1025,330,26,512,1,0
312,204,1,2026-05-28,29,11,1116,873,17,514,1,0
313,204,1,2026-05-28,29,31,1116,677,3,516,1,0
314,205,2,2024-09-04,29,14,1108,779,47,517,1,0
315,205,1,2024-09-04,29,5,1108,504,41,519,1,0
316,205,1,2024-09-04,29,6,1108,911,14,520,1,0
317,206,1,2024-02-13,29,24,1049,897,43,521,1,0
318,207,1,2024-12-05,29,17,1004,828,35,524,1,0
319,208,1,2026-03-28,29,31,1183,740,28,525,1,0
320,211,1,2025-06-05,29,24,1143,768,47,530,1,0
321,212,1,2025-06-29,29,13,1030,676,42,531,1,0
322,212,1,2025-06-29,29,22,1030,963,31,532,1,0
323,212,1,2025-06-29,29,15,1030,204,6,533,1,0
324,212,1,2025-06-29,29,23,1030,807,31,534,1,0
325,213,1,2024-04-25,29,13,1002,922,4,535,1,0
326,214,1,2025-11-05,29,18,1015,573,19,537,1,0
327,214,1,2025-11-05,29,23,1015,580,44,538,1,0
328,215,1,2026-05-03,29,22,1010,389,1,540,1,0
329,215,1,2026-05-03,29,22,1010,904,13,542,1,0
330,216,1,2024-05-07,29,24,1005,794,29,543,1,0
331,216,1,2024-05-07,29,28,1005,994,3,544,1,0
332,217,1,2025-02-13,29,1,1001,149,48,545,1,0
333,218,1,2025-08-24,29,20,1044,475,20,547,1,0
334,218,1,2025-08-24,29,6,1044,645,24,548,1,0
335,219,1,2026-06-06,29,28,1032,967,7,549,1,0
336,220,1,2024-11-09,29,12,1227,993,49,553,1,0
337,221,2,2026-03-18,29,9,1005,500,41,557,1,0
338,221,1,2026-03-18,29,25,1005,326,45,558,1,0
339,221,1,2026-03-18,29,12,1005,218,24,559,1,0
340,222,1,2024-06-13,29,7,1107,616,38,561,1,0
341,222,1,2024-06-13,29,10,1107,499,21,562,1,0
342,223,1,2025-09-17,29,25,1005,733,21,565,1,0
343,223,2,2025-09-17,29,18,1005,961,10,568,1,0
344,224,1,2024-06-01,29,3,1008,869,35,569,1,0
345,224,1,2024-06-01,29,13,1008,835,1,570,1,0
346,225,1,2025-09-24,29,13,1014,665,13,572,1,0
347,225,1,2025-09-24,29,11,1014,141,4,573,1,0
348,226,1,2024-02-14,29,7,1157,753,22,574,1,0
349,226,1,2024-02-14,29,30,1157,677,16,575,1,0
350,226,1,2024-02-14,29,11,1157,573,4,577,1,0
351,229,1,2024-01-14,29,6,1061,138,16,582,1,0
352,229,1,2024-01-14,29,1,1061,143,42,584,1,0
353,230,1,2025-08-04,29,8,1009,263,37,585,1,0
354,230,1,2025-08-04,29,31,1009,538,10,586,1,0
355,231,1,2025-04-09,29,11,1083,632,27,588,1,0
356,232,1,2025-08-26,29,26,1180,171,29,589,1,0
357,233,1,2026-05-17,29,5,1026,971,44,590,1,0
358,234,1,2025-10-15,29,23,1103,714,17,591,1,0
359,234,1,2025-10-15,29,12,1103,191,27,593,1,0
360,234,1,2025-10-15,29,28,1103,307,24,594,1,0
361,235,1,2026-04-03,29,18,1030,380,20,595,1,0
362,235,1,2026-04-03,29,14,1030,988,5,596,1,0
363,236,1,2025-05-01,29,17,1026,979,13,598,1,0
364,236,1,2025-05-01,29,22,1026,924,23,600,1,0
365,236,1,2025-05-01,29,9,1026,759,25,601,1,0
366,237,1,2025-08-18,29,18,1008,507,22,602,1,0
367,237,1,2025-08-18,29,13,1008,457,48,603,1,0
368,237,1,2025-08-18,29,3,1008,926,4,604,1,0
369,237,1,2025-08-18,29,23,1008,470,48,605,1,0
370,238,1,2024-07-19,29,5,1167,136,20,607,1,0
371,239,1,2026-01-31,29,11,1015,169,30,608,1,0
372,239,1,2026-01-31,29,19,1015,543,10,610,1,0
373,240,1,2024-02-28,29,5,1006,730,19,613,1,0
374,240,1,2024-02-28,29,28,1006,173,24,614,1,0
375,243,1,2024-11-18,29,12,1008,298,39,623,1,0
376,243,1,2024-11-18,29,9,1008,627,6,624,1,0
377,244,1,2024-12-25,29,14,1087,533,21,625,1,0
378,244,1,2024-12-25,29,22,1087,730,28,626,1,0
379,245,1,2024-03-12,29,8,1013,272,16,627,1,0
380,245,1,2024-03-12,29,2,1013,975,39,628,1,0
381,245,1,2024-03-12,29,28,1013,541,13,629,1,0
382,246,1,2025-02-26,29,19,1008,498,21,632,1,0
383,247,1,2026-06-02,29,10,1023,538,22,634,1,0
384,247,1,2026-06-02,29,25,1023,316,49,635,1,0
385,247,1,2026-06-02,29,23,1023,639,46,636,1,0
386,248,1,2025-05-03,29,24,1005,596,9,637,1,0
387,249,2,2024-08-18,29,9,1058,751,48,638,1,0
388,249,1,2024-08-18,29,21,1058,226,22,639,1,0
389,249,1,2024-08-18,29,22,1058,875,14,640,1,0
390,250,1,2025-05-29,29,9,1027,574,17,642,1,0
391,250,1,2025-05-29,29,28,1027,291,1,643,1,0
392,250,1,2025-05-29,29,12,1027,563,12,644,1,0
393,251,1,2025-05-05,29,1,1156,512,6,646,1,0
394,251,1,2025-05-05,29,24,1156,446,30,647,1,0
395,251,1,2025-05-05,29,24,1156,706,45,649,1,0
396,252,1,2025-12-09,29,8,1011,675,10,651,1,0
397,252,1,2025-12-09,29,1,1011,963,8,652,1,0
398,253,1,2024-12-10,29,28,1013,920,22,653,1,0
399,254,1,2025-09-02,29,27,1014,410,19,654,1,0
400,254,2,2025-09-02,29,27,1014,225,16,655,1,0
401,255,1,2026-04-03,29,24,1210,965,29,658,1,0
402,256,1,2025-05-14,29,10,1011,460,10,661,1,0
403,257,1,2026-04-30,29,27,1048,228,14,662,1,0
404,258,2,2026-02-21,29,4,1218,724,14,664,1,0
405,259,1,2024-06-14,29,17,1136,138,40,665,1,0
406,260,1,2024-02-20,29,16,1009,247,48,669,1,0
407,260,1,2024-02-20,29,14,1009,110,14,670,1,0
408,261,1,2025-08-15,29,5,1070,993,17,671,1,0
409,261,1,2025-08-15,29,30,1070,767,22,672,1,0
410,261,2,2025-08-15,29,9,1070,701,22,673,1,0
411,262,1,2026-04-29,29,20,1080,427,15,675,1,0
412,262,1,2026-04-29,29,26,1080,119,44,676,1,0
413,262,1,2026-04-29,29,25,1080,591,34,677,1,0
414,263,1,2026-05-14,29,30,1005,216,9,678,1,0
415,264,1,2026-02-01,29,11,1048,354,36,679,1,0
416,264,2,2026-02-01,29,9,1048,745,28,680,1,0
417,264,1,2026-02-01,29,4,1048,728,33,681,1,0
418,265,1,2024-05-22,29,25,1040,198,27,682,1,0
419,265,1,2024-05-22,29,27,1040,841,20,683,1,0
420,266,2,2025-01-13,29,16,1004,891,44,687,1,0
421,267,1,2026-03-01,29,17,1013,908,33,688,1,0
422,267,1,2026-03-01,29,15,1013,867,34,689,1,0
423,268,1,2025-10-20,29,17,1055,263,21,692,1,0
424,268,1,2025-10-20,29,20,1055,879,24,693,1,0
425,270,2,2026-04-10,29,24,1002,474,33,696,1,0
426,271,1,2025-11-10,29,14,1015,471,28,698,1,0
427,272,1,2025-08-02,29,19,1176,119,43,699,1,0
428,275,1,2025-05-08,29,9,1047,290,15,705,1,0
429,276,1,2025-03-05,29,28,1124,602,34,706,1,0
430,276,1,2025-03-05,29,28,1124,366,49,707,1,0
431,277,1,2024-08-05,29,14,1048,739,16,709,1,0
432,277,1,2024-08-05,29,9,1048,291,22,710,1,0
433,278,1,2024-02-26,29,4,1108,749,3,711,1,0
434,279,1,2025-09-08,29,18,1025,302,28,712,1,0
435,279,1,2025-09-08,29,9,1025,154,20,714,1,0
436,280,1,2024-08-15,29,13,1201,292,31,715,1,0
437,280,1,2024-08-15,29,21,1201,719,29,716,1,0
438,281,1,2025-12-07,29,1,1015,309,2,717,1,0
439,281,1,2025-12-07,29,14,1015,263,31,718,1,0
440,283,1,2024-04-29,29,1,1027,169,29,721,1,0
441,283,1,2024-04-29,29,24,1027,490,25,723,1,0
442,283,1,2024-04-29,29,22,1027,116,40,724,1,0
443,286,1,2024-12-06,29,16,1160,195,18,730,1,0
444,286,1,2024-12-06,29,26,1160,187,29,731,1,0
445,286,1,2024-12-06,29,1,1160,474,46,732,1,0
446,288,1,2026-04-17,29,6,1061,434,43,734,1,0
447,289,1,2025-06-28,29,28,1124,436,22,735,1,0
448,289,2,2025-06-28,29,27,1124,318,42,736,1,0
449,290,1,2025-02-04,29,24,1168,367,8,738,1,0
450,290,1,2025-02-04,29,9,1168,771,43,740,1,0
451,290,1,2025-02-04,29,30,1168,635,38,741,1,0
452,291,1,2025-02-09,29,18,1056,971,34,742,1,0
453,291,2,2025-02-09,29,20,1056,537,47,743,1,0
454,291,1,2025-02-09,29,7,1056,902,28,744,1,0
455,292,1,2026-01-21,29,15,1009,194,5,746,1,0
456,292,1,2026-01-21,29,22,1009,732,11,747,1,0
457,293,1,2025-09-14,29,26,1009,641,14,751,1,0
458,294,1,2025-02-12,29,9,1025,421,46,752,1,0
459,294,1,2025-02-12,29,26,1025,879,25,753,1,0
